Calendar_Year,Calendar_Month,Date,Date_Value,Mode,Agency
2021,3,Mar-21,2021.25,Trackless Trolley,SEPTA
2021,3,Mar-21,2021.25,Trolley,SEPTA
2021,4,Apr-21,2021.33,Bus,SEPTA
2021,4,Apr-21,2021.33,CCT,SEPTA
2021,4,Apr-21,2021.33,Heavy Rail,SEPTA
2021,4,Apr-21,2021.33,Regional Rail,SEPTA
2021,4,Apr-21,2021.33,Trackless Trolley,SEPTA
2021,4,Apr-21,2021.33,Trolley,SEPTA
2021,5,May-21,2021.42,Bus,SEPTA
2021,5,May-21,2021.42,CCT,SEPTA
2021,5,May-21,2021.42,Heavy Rail,SEPTA
2021,5,May-21,2021.42,Regional Rail,SEPTA
2021,5,May-21,2021.42,Trackless Trolley,SEPTA
2021,5,May-21,2021.42,Trolley,SEPTA
2021,6,Jun-21,2021.50,Bus,SEPTA
2021,6,Jun-21,2021.50,CCT,SEPTA
2021,6,Jun-21,2021.50,Heavy Rail,SEPTA
2021,6,Jun-21,2021.50,Regional Rail,SEPTA
2021,6,Jun-21,2021.50,Trackless Trolley,SEPTA
2021,6,Jun-21,2021.50,Trolley,SEPTA
2021,7,Jul-21,2021.58,Bus,SEPTA
2021,7,Jul-21,2021.58,CCT,SEPTA
2021,7,Jul-21,2021.58,Heavy Rail,SEPTA
2021,7,Jul-21,2021.58,Regional Rail,SEPTA
2021,7,Jul-21,2021.58,Trackless Trolley,SEPTA
2021,7,Jul-21,2021.58,Trolley,SEPTA
2021,8,Aug-21,2021.67,Bus,SEPTA
2021,8,Aug-21,2021.67,CCT,SEPTA
2021,8,Aug-21,2021.67,Heavy Rail,SEPTA
2021,8,Aug-21,2021.67,Regional Rail,SEPTA
2021,8,Aug-21,2021.67,Trackless Trolley,SEPTA
2021,8,Aug-21,2021.67,Trolley,SEPTA
2021,9,Sep-21,2021.75,Bus,SEPTA
2021,9,Sep-21,2021.75,CCT,SEPTA
2021,9,Sep-21,2021.75,Heavy Rail,SEPTA
2021,9,Sep-21,2021.75,Regional Rail,SEPTA
2021,9,Sep-21,2021.75,Trackless Trolley,SEPTA
2021,9,Sep-21,2021.75,Trolley,SEPTA
2021,10,Oct-21,2021.83,Bus,SEPTA
2021,10,Oct-21,2021.83,CCT,SEPTA
2021,10,Oct-21,2021.83,Heavy Rail,SEPTA
2021,10,Oct-21,2021.83,Regional Rail,SEPTA
2021,10,Oct-21,2021.83,Trackless Trolley,SEPTA
2021,10,Oct-21,2021.83,Trolley,SEPTA
2021,11,Nov-21,2021.92,Bus,SEPTA
2021,11,Nov-21,2021.92,CCT,SEPTA
2021,11,Nov-21,2021.92,Heavy Rail,SEPTA
2021,11,Nov-21,2021.92,Regional Rail,SEPTA
2021,11,Nov-21,2021.92,Trackless Trolley,SEPTA
2021,11,Nov-21,2021.92,Trolley,SEPTA
2021,12,Dec-21,2022.00,Bus,SEPTA
2021,12,Dec-21,2022.00,CCT,SEPTA
2021,12,Dec-21,2022.00,Heavy Rail,SEPTA
2021,12,Dec-21,2022.00,Regional Rail,SEPTA
2021,12,Dec-21,2022.00,Trackless Trolley,SEPTA
2021,12,Dec-21,2022.00,Trolley,SEPTA
2022,1,Jan-22,2022.08,Bus,SEPTA
2022,1,Jan-22,2022.08,CCT,SEPTA
2022,1,Jan-22,2022.08,Heavy Rail,SEPTA
2022,1,Jan-22,2022.08,Regional Rail,SEPTA
2022,1,Jan-22,2022.08,Trackless Trolley,SEPTA
2022,1,Jan-22,2022.08,Trolley,SEPTA
2022,2,Feb-22,2022.17,Bus,SEPTA
2022,2,Feb-22,2022.17,CCT,SEPTA
2022,2,Feb-22,2022.17,Heavy Rail,SEPTA
2022,2,Feb-22,2022.17,Regional Rail,SEPTA
2022,2,Feb-22,2022.17,Trackless Trolley,SEPTA
2022,2,Feb-22,2022.17,Trolley,SEPTA
2022,3,Mar-22,2022.25,Bus,SEPTA
2022,3,Mar-22,2022.25,CCT,SEPTA
2022,3,Mar-22,2022.25,Heavy Rail,SEPTA
2022,3,Mar-22,2022.25,Regional Rail,SEPTA
2022,3,Mar-22,2022.25,Trackless Trolley,SEPTA
2022,3,Mar-22,2022.25,Trolley,SEPTA
2022,4,Apr-22,2022.33,Bus,SEPTA
2022,4,Apr-22,2022.33,CCT,SEPTA
2022,4,Apr-22,2022.33,Heavy Rail,SEPTA
2022,4,Apr-22,2022.33,Regional Rail,SEPTA
2022,4,Apr-22,2022.33,Trackless Trolley,SEPTA
